create_dt,location_y,compnt_nm,location_x,version
20140207,-29.88968,BELLAIR,30.94137,1.1.0
20140207,-26.37833,BIESIESVLEI,25.90384,1.1.0
20140207,-33.98106,MFULENI,18.68742,1.1.0
20140207,-32.92197,VULINDLELA,27.71242,1.1.0
20140207,-28.41605,DELPORTSHOOP,24.31019,1.1.0
20140207,-33.35093,RIEBEEK WEST,18.8727,1.1.0
20140207,-25.0964,LYDENBURG,30.45298,1.1.0
20140207,-26.22025,BOKSBURG,28.23787,1.1.0
20140207,-26.10141,KEMPTON PARK,28.23211,1.1.0
20140207,-26.09221,TARLTON,27.66759,1.1.0
20140207,-25.69136,EKANGALA,28.74155,1.1.0
20140207,-29.60476,PIETERMARITZBURG,30.37979,1.1.0
20140207,-29.96608,MID ILLOVO,30.51511,1.1.0
20140207,-29.61901,ALEXANDRA ROAD,30.38773,1.1.0
20140207,-29.58422,BISHOPSTOWE,30.47682,1.1.0
20140207,-29.68509,BOSTON,30.04722,1.1.0
20140207,-29.72907,CAMPERDOWN,30.54127,1.1.0
20140207,-25.76254,MIDDELBURG MPUMALANG,29.45876,1.1.0
20140207,-29.15674,MANGAUNG,26.24956,1.1.0
20140207,-33.64022,WELLINGTON,19.00515,1.1.0
20140207,-30.42054,ROUXVILLE,26.83419,1.1.0
20140207,-28.9382,EXCELSIOR,27.06109,1.1.0
20140207,-28.87051,FICKSBURG,27.87397,1.1.0
20140207,-29.52845,HOBHOUSE,27.14284,1.1.0
20140207,-28.66536,MARQUARD,27.4259,1.1.0
20140207,-28.3212,SENEKAL,27.6226,1.1.0
20140207,-28.23108,BETHLEHEM,28.30889,1.1.0
20140207,-27.23861,CORNELIA,28.85422,1.1.0
20140207,-28.31452,KESTELL,28.70516,1.1.0
20140207,-27.79927,REITZ,28.43171,1.1.0
20140207,-33.28503,TULBAGH,19.14052,1.1.0
20140207,-30.27408,SAWOTI,30.49026,1.1.0
20140207,-30.28763,SCOTTBURGH,30.75576,1.1.0
20140207,-30.66458,SOUTHPORT,30.50909,1.1.0
20140207,-30.20719,UMKOMAAS,30.79157,1.1.0
20140207,-30.57774,HIBBERDENE,30.57051,1.1.0
20140207,-30.79986,GAMALAKHE,30.34167,1.1.0
