I_D,YEAR,EQ_PRIMARY,INTENSITY,COUNTRY,LOCATION_N,LATITUDE,LONGITUDE,REGION_COD,DEATHS
10018,2013,6.000000000000000,,CHINA,"CHINA:   GANSU:  DINGXI, MIN",34.512000000000000,104.262000000000000,30,94
10039,2013,7.700000000000000,,PAKISTAN,"PAKISTAN:  AWARAN, KECH",26.971000000000000,65.519999999999996,60,386
10043,2013,6.800000000000000,,PAKISTAN,PAKISTAN: AWARAN,27.263000000000002,65.587000000000003,60,22
10048,2013,7.100000000000000,,PHILIPPINES,"PHILIPPINES:  BOHOL, CEBU",9.866000000000000,124.010999999999996,170,186
10102,2014,6.900000000000000,,MEXICO,"MEXICO; GUATEMALA:  SAN MARCOS",14.742000000000001,-92.409000000000006,150,53
10106,2014,6.100000000000000,,CHINA,"CHINA:  YUNNAN:  LUDIAN:   LONGTOUSHAN, ZHAOTONG",27.245000000000001,103.427000000000007,30,589
10134,2015,7.800000000000000,,NEPAL,NEPAL:   KATHMANDU,28.146999999999998,84.707999999999998,60,8200
10141,2015,7.300000000000000,,NEPAL,NEPAL:   DOLAKHA,27.837000000000000,86.076999999999998,60,117
10151,2015,6.000000000000000,,MALAYSIA,"MALAYSIA:  SABAH:  LAHAD,DATU,KANAK",5.987000000000000,116.540999999999997,170,18
10159,2015,7.500000000000000,,AFGHANISTAN,AFGHANISTAN: HINDU KUSH,36.441000000000003,70.716999999999999,40,300
10170,2016,6.700000000000000,,INDIA,INDIA:  IMPAHL,24.834000000000000,93.656000000000006,60,13
10174,2016,6.400000000000000,,TAIWAN,TAIWAN:  TAINAN,22.939000000000000,120.593000000000004,30,116
10177,2016,7.000000000000000,,JAPAN,"JAPAN:  KUMAMOTO, OITA",32.781999999999996,130.725999999999999,30,50
10176,2016,7.800000000000000,,ECUADOR,"ECUADOR:  NEAR WEST COAST:  PUERTO LOPEZ, SALANGO",0.382000000000000,-79.921999999999997,160,662
10194,2016,6.200000000000000,8,ITALY,"ITALY:  ACCUMOLI, ARQUATA, AMATRICE",42.713999999999999,13.172000000000001,130,299
10197,2016,5.900000000000000,,TANZANIA,TANZANIA:  LAKE VICTORIA,-1.030000000000000,31.559999999999999,10,19
10215,2016,6.500000000000000,,INDONESIA,INDONESIA:  SUMATRA:  ACEH:  PIDIE JAYA,5.281000000000000,96.108000000000004,60,101
10234,2017,5.700000000000000,,ITALY,ITALY:  FARINDOLA,42.600999999999999,13.227000000000000,120,29
